Investor name:,VC fund or Angel Syndicate name:,Investment verticals:,Check size range:,Preferred start-up stage:,Do you lead rounds?,# of cold outreach investments made:,Geography,Additional notes for founders:
Matt Wilson,Allied Venture Partners,"Adtech,AI/ML,B2B,B2C,Cybersecurity,Enterprise Software,Fintech,FemTech,Future of Work & Productivity,Generalist,Marketplace,Martech,SaaS",$100k-$350k,"Pre-seed,Seed,Series A",No,12,"Canada, USA",Cold inbound welcomed at www.allied.vc/apply
Tzvete Doncheva,Amplifier,"Supply Chain,B2B,SaaS,Transport",250K euro to 2.5m euro,"Seed,Series A",Both,1,,
Chris Dixon,Andreessen Horowitz,"AI/ML,B2C,Consumer,Gaming,Social Impact,Love crazy ideas",$50k-$2m,"Pre-seed,Seed",No,,"USA, Canada, UK",
Philip Philip,Angel,"B2B,BioTech,Blockchain & Crypto,Social Impact,All deep tech!,AI/ML,Deep tech,B2C,Digital Health,Edtech,Enterprise Software,Industry Agnostic",250000-1500000,"Seed,Series A",Most likely not but we do in select cases,6,"Texas, California",
Diadem Capital,Angel,"Adtech,Agritech,All deep tech!,AI/ML,AR/VR,Aerospace,B2B,B2C,Beauty & wellness,Beauty,BioTech,Blockchain & Crypto,CleanTech,Consumer,Cybersecurity,Deep tech,Digital Health,Digital health,DTC,E-commerce,Edtech,Enterprise Software,FemTech,Fintech,Foodtech,Future of Work & Productivity,Gaming,Generalist,growth tech,Growthtech,Hard Tech & Manufacturing,Industry Agnostic,InsurTech,Legal Tech,Legaltech,Love crazy ideas,Marketplace,Martech,Materials,Media,MedTech & Healthcare,Mental Health,mental health,No code,No Code focus,Other,Real Estate & Hospitality,Renewable Energy,Retail Tech,SaaS,Social Impact,Supply Chain,Sustainable Material,Transport,Wellness",1000000,"Seed,Series A,Series B",No,3,"United States, Canada",
Alberto Furger,Angel,"Fintech,Edtech",100000,"Pre-seed,Seed,Series A",No,100+,global,
Remon Aguib,Angel,"AI/ML,AR/VR,Deep tech,Gaming,SaaS,Real Estate & Hospitality",10-100K,"Pre-seed,Seed,Series A",Most likely not but we do in select cases,,,
Adnan Rajput,Angel,"B2B,B2C,Hard Tech & Manufacturing,SaaS,Supply Chain,Marketplace,E-commerce,Retail Tech","100,000-250,000","Pre-seed,Seed",Most likely not but we do in select cases,0,US & Canada,"""Always believe in your dreams."""
Jason Baudendistel ,Angel ,"AI/ML,AR/VR,CleanTech,E-commerce,Renewable Energy",500- 5000,"Seed,Series A,Taking it to IPO! 🎉",but equally happy to co-invest alongside qualified leads,,Saint Louis Mo,
Kenny Tucker,Angel Investor,"AI/ML,All deep tech!,B2B,Blockchain & Crypto,Cybersecurity,Deep tech,Enterprise Software,etc.,Fintech,Future of Work & Productivity,Generalist,Industry Agnostic,SaaS,No code",25000-100000,"Idea/first check,Pre-seed",No,5,"Developed world, mainly US","Operator turned Angel Investor, love to talk to founders early"
Mood Fund,Angel Syndicate ,Edtech,50000-500000 USD,"Pre-seed,Seed,Series A",Both,,Europe,
Nico Berardi,ANIMO Ventures,Generalist,$500k-$2m,"Idea/first check,Seed,Pre-seed",Yes,,,"Non-FDA, US-only"
Yasmine Morrison,Antler,"AI/ML,B2C,Blockchain & Crypto,Consumer,We work with people without college degrees! Let me know if you have one or not :),Wellness,SaaS,Retail Tech,No Code focus,No code,Martech,Marketplace,Love crazy ideas,Generalist,Digital Health,Deep tech","$200,000","Pre-seed,Idea/first check,Seed",No,N/A,,Always happy to connect! 
Kavya Prudhvi,Athera Venture Partners,"All deep tech!,Legal Tech,Fintech,Adtech,Agritech,BioTech,CleanTech,Edtech,InsurTech,Hard Tech & Manufacturing,MedTech & Healthcare",$1.5-5Mn,Series A,Yes,,,
Secil Altintas,Axa Venture Partners,"AI/ML,B2B,B2C,BioTech,MedTech & Healthcare,Blockchain & Crypto,Cybersecurity,Edtech,Enterprise Software,FemTech,Fintech,Future of Work & Productivity,Gaming,Hard Tech & Manufacturing,InsurTech,SaaS",$1M - $15M,"Series A,Series B",,,,Prefer revenue close to $1M
Neetu Puranikmath,Basecamp Fund,"Fintech,AI/ML,Enterprise Software,SaaS,B2B,Blockchain & Crypto,CleanTech,Cybersecurity,Wellness,We work with people without college degrees! Let me know if you have one or not :),Agritech,Retail Tech,Consumer,Edtech",100-500K,"Pre-seed,Seed","No,I help founders find leads.",,,"Former Founder, Ex-Fintech Chief of Staff, Ex-Googler, AI Researcher, Ex-Operator, Alum: UC Berkeley, Oxford"
RUSLAN SARKISYAN,Begin Capital,"Marketplace,SaaS,E-commerce,Edtech,Digital Health,Fintech,AI/ML,Digital health,Retail Tech",$100k - $3M,"Seed,Series A",Yes,2,,Best VC :)
John Prendergass,Ben Franklin Technology Partners of Southeastern PA,"Adtech,Aerospace,Agritech,AI/ML,B2B,B2C,BioTech,MedTech & Healthcare,Blockchain & Crypto,CleanTech,Cybersecurity,E-commerce,DTC,Consumer,Edtech,Enterprise Software,FemTech,Fintech,Foodtech,Future of Work & Productivity,Gaming,Hard Tech & Manufacturing,InsurTech,Marketplace,Media,Real Estate & Hospitality,SaaS,Transport","$50,000 - $1,000,000","Pre-seed,Seed,Series A",,,greater Philadelphia area,Focus on companies with a presence and plan to grow jobs in the greater Philadelphia area. 
Rachel Lauren,Bertelsmann Digital Media Investments,"AI/ML,B2B,B2C,Beauty,Wellness,Digital Health,E-commerce,DTC,Consumer,Enterprise Software,FemTech,Fintech,Future of Work & Productivity,Gaming,Marketplace,Media,Mental Health,SaaS",$100K - $5M,"Seed,Series A,Series B",Yes,,,
Alice Deng,Bessemer Venture Partners,"AI/ML,B2B,B2C,E-commerce,DTC,Consumer,Edtech,Enterprise Software,FemTech,Fintech,Foodtech,Future of Work & Productivity,Gaming,Marketplace,Media,SaaS",$200K - $20M,"Seed,Series A,Series B",,,,
Aditya Nidmarti,Bessemer Venture Partners,"Adtech,B2B,B2C,E-commerce,DTC,Consumer,Edtech,Enterprise Software,Fintech,Future of Work & Productivity,InsurTech,Legaltech,Marketplace,No Code focus,SaaS",$1M - $100M,"Seed,Series A,Series B,Series C,Taking it to IPO! 🎉",Yes,30,,"Even if you aren’t raising, I can try and help in any way possible "
Gaby Goldberg,Bessemer Venture Partners,"B2C,Consumer,Edtech,Fintech,Gaming,Future of Work & Productivity,Marketplace,Generalist",$200k - $20M,"Seed,Series A,Series B",Yes,,,
Kimmy Paluch,Beta Boom,"B2B,B2C,AI/ML,Cybersecurity,Digital Health,Digital health,Edtech,Enterprise Software,Fintech,FemTech,Generalist,Future of Work & Productivity,InsurTech,Social Impact,Supply Chain",$150K - $500K,"Pre-seed,Seed",Yes,50%,United States,We review and respond to all who submit: https://betaboom.com/apply
Sergio Paluch,Beta Boom,"Generalist,AI/ML,B2B,B2C,Cybersecurity,Digital Health,Digital health,Edtech,Enterprise Software,FemTech,Fintech,Future of Work & Productivity,InsurTech,Social Impact,Social impact,Supply Chain",$150K - $500K,"Pre-seed,Seed",Yes,50%,United States,Reach out: https://betaboom.com/apply
Peter Rojas,Betaworks Ventures,"AI/ML,B2C,Future of Work & Productivity,Gaming,Media","$100,000 - $500,000","Pre-seed,Seed",,5,,
Dama Sathianathan,Bethnal Green Ventures,"Social Impact,CleanTech,Digital Health,Consumer,Edtech,FemTech,Future of Work & Productivity,Mental Health,Renewable Energy","£30k at programme stage, follow-on rounds with ticket size off £50k-100k","Idea/first check,Pre-seed","Yes,Accelerator",,"UK, Europe",We invest in tech for good businesses at the very early stages through our 12-week programme with £30k in cash and only provide follow-on investments through our portfolio. More info here: https://bethnalgreenventures.com/apply/
Sheel Mohnot,Better Tomorrow Ventures,"Fintech,InsurTech,Real Estate & Hospitality","$500,000 - $1,000,000","Idea/first check,Pre-seed,Seed",,3,,
Abby Lyall,Big Idea Ventures,"Agritech,Foodtech,Renewable Energy,Sustainable Materials",$125k accelerator checks + larger Seed/Series A deals ($1-5M),"Idea/first check,Pre-seed,Seed,Series A",Both,,,
Paraj Mathur,BIP Capital,"Adtech,AI/ML,AR/VR,B2B,Digital Health,Digital health,Enterprise Software,Fintech,Future of Work & Productivity,Gaming,Martech,Supply Chain,SaaS,Retail Tech,Media",$100k-$10M,"Seed,Series A",Yes,,,
Kirubha Perumalsamy,Bloom Venture Partners,"Future of Work & Productivity,Fintech,Digital Health",$25k - $250K (Typically $25k - $50k),"Pre-seed,Seed,Series A","I help founders find leads.,No",,,
Sammy Abdullah,Blossom Street Ventures,"B2B,B2C,E-commerce,DTC,Consumer,Enterprise Software,Future of Work & Productivity,Growthtech,Legaltech,Marketplace,Mental Health,SaaS,Social Impact",$500k to $1.5mm,"Series A,Series B,Series C",Yes,22,,Reach out to me cold any time.  My email is on our website at blossomstreetventures.com
Blue Acre Capital,Blue Acre,"AI/ML,All deep tech!,B2C,B2B,Beauty,Blockchain & Crypto,Cybersecurity,E-commerce,Enterprise Software,FemTech,Mental Health,growth tech","$10,000-$100,000","Idea/first check,Seed,Pre-seed,Series A,Series B,Series C",Most likely not but we do in select cases,<10,Global,We have the resources to help you co-build
JJ Kasper,Blue Collective,"Adtech,Aerospace,Agritech,AI/ML,B2B,B2C,Beauty,Wellness,BioTech,MedTech & Healthcare,Blockchain & Crypto,CleanTech,Cybersecurity,Digital Health,E-commerce,DTC,Consumer,Edtech,Enterprise Software,FemTech,Fintech,Foodtech,Future of Work & Productivity,Gaming,Growthtech,Hard Tech & Manufacturing,InsurTech,Legaltech,Marketplace,Media,Mental Health,No Code focus,Real Estate & Hospitality,Renewable Energy,Sustainable Materials,SaaS,Social Impact,Transport","$250,000 - $2,000,000","Idea/first check,Pre-seed,Seed",Yes,10,,"Our strategy is and has always been to invest in 'off-the-radar' entrepreneurs. Many of our most successful investments have been from cold outreach and in founders that were passed over by many others before finding us. We always respond to cold emails. While we obviously only invest in a small percentage of founders we meet with, we aspire to be as accessible and helpful to any and all entrepreneurs, regardless of who they are or where they come from. "
Nicole Friedman,Blue Collective,Industry Agnostic,250k-2m,"Pre-seed,Seed",Most likely not but we do in select cases,,,
Josh Berns,Blue Collective,Generalist,"250,000-2,000,000","Idea/first check,Seed,Pre-seed","Yes,but equally happy to co-invest alongside qualified leads",3,,
Zain Jaffer,Blue Field VC,"Digital Health,Real Estate & Hospitality","$200,000","Idea/first check,Pre-seed,Seed,Series A",No,3,,We own a $1B+ commercial real estate portfolio across many asset classes in the US and would love to be a strategic investor in anything that can add value to our portfolio (e.g. we want to be a customer).
Jeroen Bertrams,Both direct investments and through my syndicates,"AI/ML,B2B,Blockchain & Crypto,AR/VR,Deep tech,Digital health,Enterprise Software,Fintech,InsurTech,Marketplace,SaaS,No Code focus",$10.000 (direct) - $500.000 (syndicate),"Seed,Series A,Series B",No,10,,"I am very much a follower; I only invest in rounds that already have some investors committed, preferably VCs or known angels."
Zach Coelius,"Both, $45m fund and a syndicate","Adtech,AI/ML,B2B,Digital Health,E-commerce,DTC,Consumer,Edtech,Enterprise Software,Fintech,Future of Work & Productivity,Growthtech,InsurTech,Legaltech,Marketplace,SaaS,Transport","$200k-1m early stage, $1-10m B and later","Idea/first check,Pre-seed,Seed,Series A",Yes,6,,
Charlie O'Donnell,Brooklyn Bridge Ventures,"Adtech,Aerospace,Agritech,AI/ML,B2B,B2C,Beauty,Wellness,BioTech,MedTech & Healthcare,Blockchain & Crypto,CleanTech,Cybersecurity,Digital Health,E-commerce,DTC,Consumer,Edtech,Enterprise Software,FemTech,Fintech,Foodtech,Future of Work & Productivity,Gaming,Growthtech,Hard Tech & Manufacturing,InsurTech,Legaltech,Marketplace,Media,Mental Health,No Code focus,Real Estate & Hospitality,Renewable Energy,Sustainable Materials,SaaS,Social Impact,Transport,Other","$250,000 - $400,000","Idea/first check,Pre-seed,Seed",Yes,20,NYC area only,
Jennifer Phan,BTOV,"AI/ML,B2B,B2C,E-commerce,DTC,Consumer,Edtech,Enterprise Software,FemTech,Foodtech,Future of Work & Productivity,Marketplace,SaaS",EUR 500K - 2M,"Pre-seed,Seed,Series A",,,,
Jennifer Phan,btov Partners,"AI/ML,B2B,B2C,Edtech,Enterprise Software,FemTech,Foodtech,Future of Work & Productivity,Marketplace,SaaS",$250K - $2M,"Pre-seed,Seed,Series A",,,Investing mainly in Europe,
Ash Shrivastav,Buckhill Capital LP,"B2B,B2C,CleanTech,Digital Health,E-commerce,DTC,Consumer,Edtech,Enterprise Software,Fintech,Foodtech,Future of Work & Productivity,Marketplace,Renewable Energy,Sustainable Materials,SaaS,Social Impact,Transport",$1M+,"Series A,Series B",Yes,,,
Keyan Kazemian,California Crescent Fund,"Industry Agnostic,We work with people without college degrees! Let me know if you have one or not :),Love crazy ideas",40K ,"Idea/first check,Pre-seed",No,,,
Nandu Anilal,Canaan Partners,"AI/ML,B2B,Enterprise Software,Future of Work & Productivity,SaaS",$5M - $15m,Series A,Yes,,,
Ghali Taoussi,Cathexis,"AI/ML,Consumer,E-commerce,Deep tech,Enterprise Software,Marketplace,Media",<$20K,Pre-seed,"No,but equally happy to co-invest alongside qualified leads",4,Africa & Middle East,
CATS.VC,CATS.VC,"B2B,B2C,Cybersecurity,Enterprise Software,Foodtech,Fintech,Supply Chain,SaaS,Marketplace,Digital Health,Digital health,Gaming,Industry Agnostic,Future of Work & Productivity,E-commerce,Edtech",€200K – €1M,"Seed,Series A",Most likely not but we do in select cases,3,geo-agnostic,
Qidong (Qi) Jia,CentreGold Capital/CG Angels,"BioTech,MedTech & Healthcare",$25K - $1M,"Pre-seed,Seed",,3,,"My thesis is in health tech (software + data), and I invest in teams with at least 1 co-founder who has had industry experience in healthcare. "
Jinghan Hao,Charge Ventures,"AI/ML,B2B,B2C,Consumer,Digital Health,E-commerce,Enterprise Software,FemTech,Edtech,Wellness,SaaS,Mental Health,MedTech & Healthcare,Marketplace,Generalist",$250k-$750k,"Pre-seed,Seed",Yes,,,
Charged Ventures,Charged Ventures,"AI/ML,All deep tech!,Blockchain & Crypto,Gaming,Future of Work & Productivity,Love crazy ideas",10-100K,"Idea/first check,Seed","Yes,Accelerator,Flexible between lead",20,Global,
Roman Shportko,Charged Ventures,"Blockchain & Crypto,AI/ML,All deep tech!,Love crazy ideas,Gaming",10-100K,"Idea/first check,Pre-seed,Seed","Flexible between lead,Accelerator",20,Global,
Tyrone Ross,Chicago Booth Angel Network Silicon Valley (CBANSV),"B2B,SaaS,Love crazy ideas",$10K - $50K (individual)   Up to $200K (syndicate),Seed,No,3,North America,Apply for funding here: https://cbansv.com/get-funded
Peter Christman,Chicago Ventures,"Generalist,AI/ML,Aerospace,B2B,CleanTech,Consumer,Digital Health,Enterprise Software,Marketplace,Materials,Supply Chain",$500K-$2.5M,"Pre-seed,Seed","Yes,but equally happy to co-invest alongside qualified leads,Will also explore participatory if necessary",40%,,
Shubh Anand,City Light Capital,"Aerospace,Agritech,CleanTech,Digital Health,Edtech,FemTech,Foodtech,Future of Work & Productivity,Mental Health,Renewable Energy,Sustainable Materials,Social Impact","$50,000 - 3,000,000","Idea/first check,Pre-seed,Seed,Series A",,,,
Sarah Millar,City Light Capital,"Agritech,CleanTech,Digital Health,Edtech,FemTech,Foodtech,Future of Work & Productivity,InsurTech,Mental Health,Renewable Energy,Sustainable Materials,Social Impact","$50,000 seed, $2-3 million Series A","Seed,Series A","Yes,No",5,,We like to see some revenue traction before we invest: $1mm ARR threshold for Series A investments.
Themasap Khan,Civilization Ventures,"Agritech,BioTech,Digital Health,MedTech & Healthcare",$100k - $Millions,"Idea/first check,Seed,Series A",Yes,,"SF based, but invest globally!","Civilization Ventures supports founders in building new platforms in areas such as cell and gene therapy, IO, gene editing, genomics/diagnostics, synthetic biology and digital health. We work closely with our portfolio companies on strategy, recruiting, operations, partnerships, fundraising and more."
Dakotah Rice,Coatue ,"Adtech,Aerospace,Agritech,AI/ML,B2B,B2C,BioTech,MedTech & Healthcare,Blockchain & Crypto,CleanTech,Cybersecurity,Digital Health,E-commerce,DTC,Consumer,Edtech,Enterprise Software,FemTech,Fintech,Foodtech,Future of Work & Productivity,Gaming,Growthtech,InsurTech,Legaltech,Media,No Code focus,Renewable Energy,Sustainable Materials,SaaS,Transport",50000 to tens of millions ,"Seed,Series A,Series B,Series C,Taking it to IPO! 🎉",Yes,,,
Lily Bernicker,Collaborative Fund,"Agritech,B2C,Beauty,Wellness,BioTech,MedTech & Healthcare,CleanTech,Digital Health,E-commerce,DTC,Consumer,Edtech,FemTech,Fintech,Foodtech,Future of Work & Productivity,Hard Tech & Manufacturing,InsurTech,Legaltech,Marketplace,Mental Health,Renewable Energy,Sustainable Materials,Social Impact,Transport",$0.5-2.0M,"Pre-seed,Seed",Yes,4,,
Doug Benowitz,Colle Capital,"Aerospace,Agritech,AI/ML,B2B,B2C,BioTech,MedTech & Healthcare,CleanTech,Cybersecurity,Digital Health,E-commerce,DTC,Consumer,Edtech,Enterprise Software,FemTech,Fintech,Future of Work & Productivity,Hard Tech & Manufacturing,InsurTech,Marketplace,Mental Health,Real Estate & Hospitality,SaaS,Transport",$500K+,"Seed,Series A",Yes,2,,
Tony Olivito,Comeback Capital,"Adtech,Agritech,AI/ML,B2B,Cybersecurity,Digital Health,Enterprise Software,Fintech,Future of Work & Productivity,Generalist,InsurTech,Industry Agnostic,Legaltech,SaaS,Supply Chain",$100k - $250k,"Pre-seed,Seed",Yes,,"Midwest, Mountains, Southwest, South, Mid-Atlantic, etc.  Anywhere in the US except Silicon Valley and New York",We typically respond within 48 hours. This is the best way to contact: https://www.comeback.vc/entrepreneurs
Vandana Tolani,Conavnto,"Adtech,Aerospace,Agritech,AI/ML,All deep tech!,AR/VR,B2B,B2C,Beauty,Beauty & wellness,Wellness,BioTech,CleanTech,Blockchain & Crypto,Cybersecurity,Consumer,Digital health,etc.",4 - 100 Million,"Pre-seed,Seed,Series A",No,,India ,
Will Orde,Conviction VC,"B2B,Enterprise Software,SaaS,Cybersecurity",£100k-£2million,"Seed,Series A",Yes,,PAN-Europe,
Amy Cheetham,Costanoa Ventures,"AI/ML,All deep tech!,B2B,Cybersecurity,Enterprise Software,Fintech,Supply Chain,SaaS,MedTech & Healthcare",$1-10M,"Seed,Series A",Yes,,,
Jomayra Herrera,Cowboy Ventures,"AI/ML,B2B,B2C,Cybersecurity,E-commerce,DTC,Consumer,Edtech,Enterprise Software,FemTech,Fintech,Foodtech,Future of Work & Productivity,InsurTech,Marketplace,Media,Real Estate & Hospitality,SaaS",$1 - $1.5M,Seed,,,,
Ashley Gautreaux ,CreativeCo Capital ,"B2B,SaaS,Enterprise Software",200k- 750k,"Seed,Series A","No,I help founders find leads.",5,,"Please reach out, we’d love to hear from you! "
Brittany Walker,CRV,"AI/ML,B2B,Future of Work & Productivity,SaaS",1-15M,"Seed,Series A",Yes,,,
David Zhao,Darling Ventures,"Adtech,AI/ML,B2B,Blockchain & Crypto,Digital Health,Edtech,Enterprise Software,Fintech,Future of Work & Productivity,Hard Tech & Manufacturing,InsurTech,Legaltech,Marketplace,No Code focus,SaaS",$250K - $500K,"Idea/first check,Pre-seed,Seed",,,,Please feel free to reach out with an introduction and a deck! david@darlingventures.com
Pascal Unger,Darling Ventures,"Adtech,AI/ML,B2B,Blockchain & Crypto,Digital Health,Enterprise Software,Fintech,Future of Work & Productivity,Hard Tech & Manufacturing,InsurTech,Legaltech,Marketplace,Real Estate & Hospitality,SaaS",$250K - $500K,"Idea/first check,Pre-seed,Seed",Yes,,Bay Area,Pre-Seed / Seed based in the Bay Area. First backers at the frontier of technical innovation. Please feel free to reach out! darlingventures.com
David Yakobovitch,DataPower Ventures,"AI/ML,All deep tech!,B2B,Cybersecurity,Deep tech,Enterprise Software,Fintech,Future of Work & Productivity,Hard Tech & Manufacturing,No code",100k-250k,"Idea/first check,Pre-seed,Seed",Most likely not but we do in select cases,5,Global,Please reach out at david@datapower.vc 
Pablos Holman,Deep Future,"Aerospace,All deep tech!,Deep tech,Hard Tech & Manufacturing",$250K,"Idea/first check,Pre-seed",Yes,,,http://deepfuture.tech pablos@deepfuture.tech
Ryan Li,Deep Ventures (syndicate),"Aerospace,AI/ML,B2B,B2C,BioTech,MedTech & Healthcare,Blockchain & Crypto,CleanTech,Hard Tech & Manufacturing,Renewable Energy,Sustainable Materials,Social Impact,Deep tech",$100K - $200K,"Pre-seed,Seed,Series A",No,,,
Matt Prusak,Defense Angels,"Aerospace,All deep tech!,AR/VR,AI/ML,BioTech,Blockchain & Crypto,Cybersecurity,CleanTech,Deep tech,Digital health,Digital Health,Edtech,Love crazy ideas,Materials,Transport",$10K - $250K,"Pre-seed,Seed,Series A,Series B",No,Several,,Happy to connect with anyone who thinks their technology is applicable to national security / DoD / IC use cases
Diana Kontsevaia,Dell Technologies Capital,"AI/ML,B2B,All deep tech!,Cybersecurity,Deep tech,Enterprise Software,Future of Work & Productivity,No code,SaaS",5-10M,"Series A,Series B",Yes,Not sure,,"We are the financially-driven venture arm of Dell Technologies. We invest in enterprise needle-movers who will grow fast and where we can add value with our networks and operational experience. Though operating like a fund, we have the distinct advantage of leveraging Dell for opportunities where and when it makes sense (like joint GTM, OEM, etc). Our interests are enterprise infrastructure, from hardware to data to dev tools."
Kailash Sundaram,Detroit Venture Partners,"B2B,E-commerce,DTC,Consumer,Fintech,Future of Work & Productivity,Gaming,SaaS",$100K - $5M,"Pre-seed,Seed,Series A,Series B",Yes,3,,"We're the venture capital arm of Dan Gilbert, founder of Rocket Companies and owner of the Cleveland Cavaliers. Our investments include StockX, Finicity, Vroom, 100 Thieves, and Genius."
Victoria Perweiler,Digitalis Ventures,"Digital Health,Mental Health,BioTech,FemTech",0.5m - 5m ,"Seed,Series A","co-lead,or follow depending on the stage of the company,We lead rounds where we feel we are the best partner at the table and can add the most value to the company,but equally happy to co-invest alongside qualified leads",3,,Digitalis invests in founders building solutions to complex problems in human and animal health.
Jane Lippencott,Distributed,Blockchain & Crypto,$250k-$10m,"Pre-seed,Seed,Series A,Idea/first check",Yes,5,,Update Mar 2021 I moved from Winklevoss Capital to Distributed. Happy to speak with any founder building in the crypto/blockchain space.
Lucy Wang,Divergent Capital/Individual,"Aerospace,Agritech,AI/ML,BioTech,MedTech & Healthcare,CleanTech,Cybersecurity,Digital Health,Enterprise Software,Hard Tech & Manufacturing,Mental Health,Renewable Energy,Sustainable Materials,Transport",$10K - $750K,"Idea/first check,Pre-seed,Seed",Yes,2,,I invest in deeply technical founders commercializing new tech + scientific innovations
Paulina Szyzdek,Diverse,"AI/ML,B2B,B2C,Edtech,Fintech,Future of Work & Productivity",$0.5 - 5M,"Idea/first check,Pre-seed,Seed,Series A,Series B",No,5,,
Siri Srinivas,Draper Associates,"Aerospace,AI/ML,B2B,B2C,BioTech,MedTech & Healthcare,Blockchain & Crypto,Digital Health,Enterprise Software,Fintech,Foodtech,Future of Work & Productivity,Gaming,InsurTech,Legaltech,Marketplace,Media,Real Estate & Hospitality,SaaS,Transport",$1M,"Pre-seed,Seed,Series A",Yes,5,,
